aarónico, ca=cat: A;source: ;
aaronita=cat: A;source: ;
ababa=cat: F;source: ;
ababillarse=cat: VP;source: ;
ababol=cat: M;source: ;
abacá=cat: M;source: ;
abacal=cat: A,M;source: ;
abacalero, ra=cat: A,MF;source: ;
aba=cat: I;source: ;
abacería=cat: F;source: ;
abacero, ra=cat: MF;source: ;
abachar=cat: VT;source: ;
abacial=cat: A;source: ;
ábaco=cat: M;source: ;
abacora=cat: F;source: ;
abacorar=cat: VT;source: ;
abada=cat: F;source: ;
abad=cat: M;source: ;
abadejo=cat: M;source: ;
abadengo, ga=cat: A,M;source: ;
abadernar=cat: VT;source: ;
abadesa=cat: F;source: ;
abadía=cat: F;source: ;
abadiado=cat: M;source: ;
abadiato=cat: M;source: ;
abadí=cat: A;source: ;
ab aeterno=cat: LAdv;source: ;
abajadero=cat: M;source: ;
abajamiento=cat: M;source: ;
abajar=cat: VT;source: ;
abajeño, ña=cat: A;source: ;
abajera=cat: F;source: ;
abajo=cat: R;source: ;
abakuá=cat: M;source: ;
abalada=cat: ;source: ;
abalanzar=cat: VT,VP;source: ;
abalar=cat: VT;source: ;
abalaustrado, da=cat: A;source: ;
abalconado, da=cat: A;source: ;
abaldonadamente=cat: R;source: ;
abaldonamiento=cat: M;source: ;
abaldonar=cat: VT,VP;source: ;
abaleador, ra=cat: MF;source: ;
abaleadura=cat: F;source: ;
abalizamiento=cat: M;source: ;
abalizar=cat: VT;source: ;
aballestar=cat: VT;source: ;
abalorio=cat: M;source: ;
abaluartar=cat: VT;source: ;
abanador=cat: M;source: ;
abanar=cat: VT;source: ;
abancalar=cat: VT;source: ;
abanda=cat: ;source: ;
abanderado, da=cat: MF,M;source: ;
abanderamiento=cat: M;source: ;
abanderar=cat: VT;source: ;
abanderizador, ra=cat: A;source: ;
abanderizar=cat: VT;source: ;
abandonado, da=cat: A;source: ;
abandonamiento=cat: M;source: ;
abandonar=cat: VT,VP;source: ;
abandonismo=cat: M;source: ;
abandonista=cat: A;source: ;
abandono=cat: M;source: ;
abanear=cat: VI;source: ;
abanicar=cat: VI,VT,VP;source: ;
abanicazo=cat: M;source: ;
abanico=cat: M,LAdv;source: ;
abanillo=cat: M;source: ;
abanino=cat: M;source: ;
abaniqueo=cat: M;source: ;
abaniquería=cat: F;source: ;
abaniquero, ra=cat: MF;source: ;
abano=cat: M;source: ;
abanquino, na=cat: A;source: ;
abanto=cat: A,M;source: ;
abañador, ra=cat: MF;source: ;
abañadura=cat: F;source: ;
abañar=cat: VT;source: ;
abarajar=cat: VT;source: ;
abarañar=cat: VT;source: ;
abaratamiento=cat: M;source: ;
abaratar=cat: VT;source: ;
abarbechar=cat: VT;source: ;
abarbetar=cat: VT;source: ;
abarcable=cat: A;source: ;
abarca=cat: F;source: ;
abarcado, da=cat: A;source: ;
abarcador, ra=cat: A;source: ;
abarcadura=cat: F;source: ;
abarcamiento=cat: M;source: ;
abarcar=cat: VT;source: ;
abarcón=cat: M;source: ;
abarcuzar=cat: VT;source: ;
abareque=cat: M;source: ;
abaritonado, da=cat: A;source: ;
abarloar=cat: VT;source: ;
abarquero, ra=cat: MF;source: ;
abarquillado, da=cat: A;source: ;
abarquillamiento=cat: M;source: ;
abarquillar=cat: VT;source: ;
abarracar=cat: VI;source: ;
abarrado, da=cat: A;source: ;
abarraganamiento=cat: M;source: ;
abarraganarse=cat: VP;source: ;
abarrajado, da=cat: A;source: ;
abarrajar=cat: VT,VP;source: ;
abarramiento=cat: M;source: ;
abarrancadero=cat: M;source: ;
abarrancamiento=cat: M;source: ;
abarrancar=cat: VI,VT,VP;source: ;
abarrar=cat: VT;source: ;
